team_id,team_name,conference,bg_color,text_color,notes
TOR,Toronto Badgers,D1 Conference,#B50A30,#000000,
SEA,Summer Seals,D1 Conference,#008080,#fec25a,
BCL,BC Legless,D1 Conference,#B51C1E,#FFFFFF,
LL,Little St. James Lot Lizards,D1 Conference,#D70E8B,#009E4D,
NK,Niagra Knicks,D1 Conference,#006BB4,#F68426,
PKN,Puckin Penguins,D1 Conference,#AA7903,#1E1E1E,
