name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
Oodoo,76561198872690627,S,,3,2,0,2,0.8103362895601675,0,20,7,1,0,3,4,106,62.2,2,0,0,0,0,0,0,0,0,0,0,133,53.88736325575113,0.00,0.00,RR,name:Oodoo,2221.3,0,2221.3,740.4333333333334,0,740.4333333333334,0,16,4,0,3,3,1
ORANGE,76561198114141804,G,,0,1,0,1,0,0,6,0,0,0,2,2,58,17.4,0,0,6,47,13,4,30,2.1431711606096133,0.7234042553191489,3,1,485,79.95677022274326,0.00,7.79,MOFO,name:ORANGE,0,5459.2,5459.2,0,909.8666666666667,909.8666666666667,0,6,0,2,0,2,0
OVO,76561198981139688,S,,18,10,2,8,0.5113258679756609,18,186,76,66,3,30,34,1412,996.0000000000001,3,2,0,0,0,0,0,0,0,0,0,1219.5,62.35618959963185,2.38,0.00,CG67,name:OVO,17601.3,0,17601.3,977.8499999999999,0,977.8499999999999,8,136,50,7,23,30,4
PATRIKALLVIN,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:PATRIKALLVIN,0,0,0,0,0,0,0,0,0,0,0,0,0
placenta,76561198243022268,S,,15,9,1,8,0.642128378110557,17,133,60,59,11,12,13,1194,895.4,2,6,0,0,0,0,0,0,0,0,0,946.5,67.53050109796024,2.54,0.00,BRG,name:placenta,12614.300000000001,0,12614.300000000001,840.9533333333334,0,840.9533333333334,8,92,41,1,11,10,3
player 43,76561198180293369,S,Captain,24,74,39,35,2.9952777153136947,132,309,89,168,22,63,24,3666,2928,111,85,0,0,0,0,0,0,0,0,0,5204.5,210.66111985608276,36.08,0.00,TOR,name:player 43,22235,0,22235,926.4583333333334,0,926.4583333333334,2,97,186,6,55,12,13
Pogba,76561198109056374,S,,20,23,12,11,1.0855599548994415,44,192,52,57,19,29,19,1521,1049.7,36,47,0,0,0,0,0,0,0,0,0,1974,93.16936308571728,11.83,0.00,CG67,name:Pogba,19068.5,0,19068.5,953.425,0,953.425,2,95,89,5,24,11,8
Poro,76561198072423953,S,Captain,20,32,12,20,1.485531541754784,57,242,78,91,6,32,32,2185,1406.3999999999996,58,52,0,0,0,0,0,0,0,0,0,2594,120.42090060349719,10.86,0.00,PP,name:Poro,19387,0,19387,969.35,0,969.35,12,140,89,8,24,22,10
pretty,76561198099463628,S,,23,39,16,23,1.6136076313067464,91,303,86,131,12,46,25,2763,1897.1,69,58,0,0,0,0,0,0,0,0,0,3167,131.03321457303758,19.68,0.00,MOFO,name:pretty,21752.5,0,21752.5,945.7608695652174,0,945.7608695652174,4,155,143,6,40,19,6
puff,76561198317592509,G,,0,3,0,3,0,0,38,13,3,1,1,0,174,66.3,0,0,11,109,27,21,61,2.380066210895414,0.7522935779816513,3,1,1105,97.4064134459049,0.00,22.18,CG67,name:puff,0,10209.800000000001,10209.800000000001,0,928.1636363636364,928.1636363636364,0,38,0,0,1,0,0
Pyros,76561198116230416,S,Captain,18,18,4,14,1.017779732361626,32,158,56,71,7,22,22,1544,1092.1,1,4,0,0,0,0,0,0,0,0,0,1474.5,83.37312307595653,6.12,0.00,RR,name:Pyros,15916.999999999998,0,15916.999999999998,884.2777777777777,0,884.2777777777777,8,100,52,7,15,18,4
Quick,76561198018657100,S/G,,1,7,0,7,7,1,63,18,6,0,1,2,261,74.3,0,0,19,143,32,31,80,1.6218590559428745,0.7762237762237763,16,2,1687,81.37789831380577,0.00,28.22,TOR,name:Quick,900,17757.4,18657.4,900,934.6,932.8700000000001,0,59,1,0,1,2,0
Radioheadlover,76561199014254328,S,,14,22,7,15,1.6273794259788932,31,140,33,68,1,23,18,1256,977,41,30,0,0,0,0,0,0,0,0,0,1548.5,114.54532005128709,6.66,0.00,RR,name:Radioheadlover,12166.800000000001,0,12166.800000000001,869.0571428571429,0,869.0571428571429,3,35,91,3,18,9,9
Retep,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Retep,0,0,0,0,0,0,0,0,0,0,0,0,0
