team_id,team_name,conference,bg_color,text_color,notes
CG67,Carl's Green 67s,Katsyoro Conference,#FFFFFF,#02702A,
PP,Poro's Puffles,Katsyoro Conference,#4442FF,#FFFF00,
BRG,The Bourgeoisie,Katsyoro Conference,#000000,#FFD700,
MOFO,Mother Puckers,Katsyoro Conference,#F42B84,#46FF31,
LBR,Long Beach Riptide,Katsyoro Conference,#59A3A4,#F02230,
RR,Racy Reindeer,Katsyoro Conference,#673435,#FFFFFF,
BB,Boston Barts,Katsyoro Conference,#F4D331,#CA1723,
FOX,Fernie Foxes,Katsyoro Conference,#481E9C,#FFFFFF,
TOR,Toronto Badgers,Katsyoro Conference,#B50A30,#000000,
